title	url	index
1. Introduction	http://traffic.libsyn.com/teacherluke/1-introduction.mp3	
2. Easter / Interview with my Dad / Language Focus: Adverbials	http://traffic.libsyn.com/teacherluke/2-easter.mp3	
3. Music/The Beatles	http://traffic.libsyn.com/teacherluke/3-music-the-beatles.mp3	
4. Extra Podcast – Quick Hello	http://traffic.libsyn.com/teacherluke/4-extra-podcast-quick-hello.mp3	
5. Joaquin Phoenix	http://traffic.libsyn.com/teacherluke/5-joaquin-phoenix.mp3	
6. Vampires!	http://traffic.libsyn.com/teacherluke/6-vampires.mp3	
7. Susan Boyle	http://traffic.libsyn.com/teacherluke/7-susan-boyle.mp3	
8. Dating and Relationships	http://traffic.libsyn.com/teacherluke/8-dating-relationships.mp3	
9. Travelling in India	http://traffic.libsyn.com/teacherluke/9-travelling-to-india.mp3	
10. Extra Podcast – Quick Hello 2	http://traffic.libsyn.com/teacherluke/10-extra-podcast-quick-hello-2.mp3	
11. Men vs Women	http://traffic.libsyn.com/teacherluke/11-men-vs-women.mp3	
12. Extra Podcast – Quick Hello 3	http://traffic.libsyn.com/teacherluke/12-extra-podcast-quick-hello-3.mp3	
13. Video Podcast – I LIKE IT!	http://traffic.libsyn.com/teacherluke/13-video-podcast-i-like-it.mp3	
14. British & American Pronunciation	http://traffic.libsyn.com/teacherluke/14-british-american-pronunciation.mp3	
15. Extra Podcast – 12 Phrasal Verbs	http://traffic.libsyn.com/teacherluke/15-extra-podcast-12-phrasal-verbs.mp3	
16. Michael Jackson	http://traffic.libsyn.com/teacherluke/16-michael-jackson.mp3	
17. Hello To My Listeners Around The World	http://traffic.libsyn.com/teacherluke/17-hello-to-my-listeners-around-the-world.mp3	
18. 10 More Phrasal Verbs	http://traffic.libsyn.com/teacherluke/18-10-more-phrasal-verbs.mp3	
19. Passive Verb Forms	http://traffic.libsyn.com/teacherluke/19-passive-verb-forms.mp3	
20. Beware of Bad Pronunciation	http://traffic.libsyn.com/teacherluke/20-beware-of-bad-pronunciation.mp3	
21. Learning English with Podcasts – Advice from a Chinese student at Oxford University	http://traffic.libsyn.com/teacherluke/21-learning-english-with-podcasts-advice-from-a-chinese-student-at-oxford-university.mp3	
22. Full Interview with Vicky from China	http://traffic.libsyn.com/teacherluke/22-full-interview-with-vicky-from-china.mp3	
23. Summer Music Festivals	http://traffic.libsyn.com/teacherluke/23-summer-music-festivals.mp3	
24. Music Idioms	http://traffic.libsyn.com/teacherluke/24-music-idioms.mp3	
26. Are you a good learner of English?	http://traffic.libsyn.com/teacherluke/26-are-you-a-good-learner-of-english.mp3	
27. British Weather (Lots of exciting vocabulary!!!)	http://traffic.libsyn.com/teacherluke/27-british-weather-lots-of-exciting-vocabulary.mp3	
28. Interview with a Native Speaker – The Weather	http://traffic.libsyn.com/teacherluke/28-interview-with-a-native-speaker-the-weather.mp3	
29. Mystery Story / Narrative Tenses	http://traffic.libsyn.com/teacherluke/29-mystery-story-narrative-tenses.mp3	
30. The Mystery Continues…	http://traffic.libsyn.com/teacherluke/30-the-mystery-continues.mp3	
31. Hello! / Argument Sketch	http://traffic.libsyn.com/teacherluke/31-hello-argument-sketch.mp3	
32. Doctor Who	http://traffic.libsyn.com/teacherluke/32-doctor-who.mp3	
33. Money Money Money – 12 Phrasal Verbs & more…	http://traffic.libsyn.com/teacherluke/33-money-money-money-12-phrasal-verbs-more.mp3	
35. London Video Interviews – Part 1 (Video)	http://traffic.libsyn.com/teacherluke/36-london-video-interviews-pt-1-audio-only.mp3	
36. London Video Interviews – Part 1 (Audio)	http://traffic.libsyn.com/teacherluke/36-london-video-interviews-pt-1-audio-only.mp3	
37. London Video Interviews Part 2 (Video)	http://traffic.libsyn.com/teacherluke/38-london-video-interviews-pt-2-audio-only.mp3	
38. London Video Interviews Part 2 (Audio)	http://traffic.libsyn.com/teacherluke/38-london-video-interviews-pt-2-audio-only.mp3	
40. Health / Feeling ill – Phrasal Verbs & Expressions	http://traffic.libsyn.com/teacherluke/40-health-feeling-ill-phrasal-verbs-expressions.mp3	
41. London Video Interviews Part 3 (Video)	http://traffic.libsyn.com/teacherluke/42-london-video-interviews-pt-3-audio-only.mp3	
42. London Video Interviews Pt 3 (Audio)	http://traffic.libsyn.com/teacherluke/42-london-video-interviews-pt-3-audio-only.mp3	
44. Telling Anecdotes	http://traffic.libsyn.com/teacherluke/44-telling-anecdotes.mp3	
45. Luke & Andy’s Crime Stories	http://traffic.libsyn.com/teacherluke/45-luke-andy-s-crime-stories.mp3	
46. I’m on Holiday! I’ll be back in a couple of weeks	http://traffic.libsyn.com/teacherluke/46-i-m-on-holiday-i-ll-be-back-in-a-couple-of-weeks.mp3	
47. Travelling in Vietnam	http://traffic.libsyn.com/teacherluke/47-travelling-in-vietnam.mp3	
48. Useful Expressions for Travelling	http://traffic.libsyn.com/teacherluke/48-useful-expressions-for-travelling.mp3	
49. Stand Up Comedy	http://traffic.libsyn.com/teacherluke/49-stand-up-comedy.mp3	
50. Good Things Come To Those Who Wait	http://traffic.libsyn.com/teacherluke/50-good-things-come-to-those-who-wait.mp3	
51. Luke Answers Your Emails and Questions	http://traffic.libsyn.com/teacherluke/51-luke-answers-your-emails-and-questions.mp3	
53. Discussing Grammar with My Brother	http://traffic.libsyn.com/teacherluke/53-discussing-grammar-with-my-brother.mp3	
54. Halloween / Guy Fawkes Night	http://traffic.libsyn.com/teacherluke/54-halloween-guy-fawkes-night.mp3	
55. Mini Podcasts Collection 1	http://traffic.libsyn.com/teacherluke/55-mini-podcasts-collection-1.mp3	
56. British Accents and Dialects	http://traffic.libsyn.com/teacherluke/56.output.mp3	
57. Birmingham Accent / 12 Phrasal Verbs with the letter ‘A’	http://traffic.libsyn.com/teacherluke/57-birmingham-accent-12-phrasal-verbs-with-the-letter-a.mp3	
58. Scotland / Scottish Accent	http://traffic.libsyn.com/teacherluke/58-scotland-scottish-accent.mp3	
59. Billy Connolly Interview / More Scottish Accent	http://traffic.libsyn.com/teacherluke/59-billy-connolly-interview-more-scottish-accent.mp3	
60. The King’s Speech / ‘Mouth’ Idioms	http://traffic.libsyn.com/teacherluke/60-the-king-s-speech-mouth-idioms.mp3	
61. 127 Hours / ‘Hand’ Idioms	http://traffic.libsyn.com/teacherluke/61-127-hours-hand-idioms.mp3	
62. Learning English – Advice from a German comedian living in London	http://traffic.libsyn.com/teacherluke/62-learning-english-advice-from-a-german-comedian-living-in-london.mp3	
63. German and British Cultural Identity – Paco Erhard interview part 2	http://traffic.libsyn.com/teacherluke/63-german-and-british-cultural-identity-paco-erhard-interview-part-2.mp3	
64. London Video Interviews Part 5 (Video)	http://traffic.libsyn.com/teacherluke/65-london-video-interviews-pt-5-audio-only.mp3	
