title	url
738. Do you remember…? with Mum, Dad & James / Family Stories with The Thompsons	https://teacherluke.co.uk/2021/09/02/738-do-you-remember-with-mum-dad-james-family-stories-with-the-thompsons/
737. A Summer Ramble 2 (Late August 2021)	https://teacherluke.co.uk/2021/08/26/737-a-summer-ramble-2-late-august-2021/
736. The War of the Worlds by H.G. Wells [Part 3] Learn English with Stories	https://teacherluke.co.uk/2021/08/11/736-the-war-of-the-worlds-by-h-g-wells-part-3-learn-english-with-stories/
735. The War of the Worlds by H.G. Wells [Part 2] Learn English with Stories	https://teacherluke.co.uk/2021/08/11/735-the-war-of-the-worlds-by-h-g-wells-part-2-learn-english-with-stories/
734. The War of the Worlds by H.G. Wells [Part 1] Learn English with Stories	https://teacherluke.co.uk/2021/08/11/734-the-war-of-the-worlds-by-h-g-wells-part-1-learn-english-with-stories/
733. A Summer Ramble	https://teacherluke.co.uk/2021/08/03/733-a-summer-ramble/
732. Christian from Canguro English returns	https://teacherluke.co.uk/2021/07/29/732-christian-from-canguro-english-returns/
731. Beatles Song Lyrics / Idioms & Expressions (with Antony Rotunno)	https://teacherluke.co.uk/2021/07/25/731-beatles-song-lyrics-idioms-expressions-with-antony-rotunno/
730. Marie Connolly Returns (+ 2 songs)	https://teacherluke.co.uk/2021/07/19/730-marie-connolly-returns-2-songs/
729. TOEFL and the Duolingo English Test (with Josh MacPherson from TSTPrep.com)	https://teacherluke.co.uk/2021/07/13/729-toefl-and-the-duolingo-english-test-with-josh-macpherson-from-tstprep-com/
728. English with Rob / Games, Music & Jingles	https://teacherluke.co.uk/2021/07/05/728-english-with-rob-games-music-jingles/
727. Describing John Lennon / Adjectives of Personality J-Z (with Antony Rotunno)	https://teacherluke.co.uk/2021/06/30/727-describing-john-lennon-adjectives-of-personality-j-z-with-antony-rotunno/
726. Describing John Lennon / Adjectives of Personality A-I (with Antony Rotunno)	https://teacherluke.co.uk/2021/06/26/726-describing-john-lennon-adjectives-of-personality-a-i-with-antony-rotunno/
725. Fun & Games for Learning English with Vickie Kelty	https://teacherluke.co.uk/2021/06/17/725-fun-games-for-learning-english-with-vickie-kelty/
724. The Mountain (Short Story) + Video	https://teacherluke.co.uk/2021/06/11/724-the-mountain-short-story-video/
723. Bahar from Iran  (WISBOLEP Runner-Up)	https://teacherluke.co.uk/2021/06/04/723-bahar-from-iran-wisbolep-runner-up/
722. Discussing John Lennon with Antony Rotunno	https://teacherluke.co.uk/2021/05/29/722-discussing-john-lennon-with-antony-rotunno/
721. Collins Dictionary Word Quizzes / Confusing Words with Fred Eyangoh	https://teacherluke.co.uk/2021/05/24/721-collins-dictionary-word-quizzes-with-fred-eyangoh/
720. How Fred Learns Vocabulary with the New York Times Spelling Bee (with Fred Eyangoh)	https://teacherluke.co.uk/2021/05/18/720-how-fred-learns-vocabulary-with-the-new-york-times-spelling-bee-with-fred-eyangoh/
719. Amber & Paul are on the Podcast	https://teacherluke.co.uk/2021/05/10/719-amber-paul-are-on-the-podcast/
